<<<<<<< HEAD
SubjectID,Species,Sex,Age_years,Weight_kg,SurgicalProcedure,SurgeryDuration_min,SurgeryComplexity,VetType,ExperienceYears,OperativeCare,Premed,Premed_Total_mg,InductionAgent,Induction_Total_mg,MaintenanceAgent,Maintenance_Rate_mgkg_hr,Intraop_Analgesia,Intraop_Analgesia_Total_mg,Postop_Antibiotic,Postop_Antibiotic_Total_mg,Postop_Antibiotic_Duration_days,Postop_Analgesia,Postop_Analgesia_Total_mg,Postop_Analgesia_Duration_hr,ReversalAgent,RareAdverseEventEver,FirstRareAdverseEventType
18,Cynomolgus,Male,3.0,3.242707730176914,Cardiothoracic,117.93810045139097,4.0,DACLAM,12.0,4.041661571631718,Ketamine_IM,18.8392017089614,Propofol_IV,10.548192976495477,TIVA_Propofol,6.224832292230429,Morphine,0.4314677220273024,Enrofloxacin,30.35833410499399,6.0,Carprofen,12.16875405078562,43.225217973717605,Atipamezole,False,
19,Rhesus,Female,19.0,9.252531545604805,Cardiothoracic,140.30475382145403,4.0,DACLAM,14.0,5.0,Dexmedetomidine_Ketamine_IM,38.19702106980809,Ketamine_IV,24.35288846866145,Desflurane,0.9310566537198786,Fentanyl_bolus,0.07707609611193621,Cefotaxime,387.06006143805524,3.0,Carprofen,27.325454034446242,87.71533885997471,Atipamezole,False,
20,Rhesus,Female,21.0,11.165577069806863,Orthopedic,165.30766756120786,3.0,DACLAM,10.0,4.907462744981549,Medetomidine_Ketamine_IM,65.59847093862696,Ketamine_IV,46.754147165466236,Isoflurane,0.874705895852674,Hydromorphone,1.6947270446855605,Cefazolin,246.07134753838415,2.0,Meloxicam,3.2715361165724546,88.55127883206326,Atipamezole,False,
21,Cynomolgus,Female,14.0,7.65338829678161,Abdominal,143.63468736260185,3.0,DACLAM,11.0,4.270158448355847,Ketamine_IM,39.272594633633,Ketamine_IV,29.615802840912767,Desflurane,1.120653246083236,Morphine,3.6981622211967213,Ampicillin,234.44402143710406,3.0,Carprofen,24.011842436547244,84.3550164940199,Atipamezole,False,
22,Rhesus,Male,14.0,9.847684160802757,Abdominal,118.53036308105456,4.0,DACLAM,14.0,3.0432842714769714,Midazolam_Ketamine_IM,57.640279478051966,Ketamine_IV,35.1857018672316,TIVA_Propofol,10.082851216112907,Buprenorphine,0.24041310085806708,Ampicillin,278.81406639565915,3.0,Meloxicam,4.129403107643039,40.54424611196525,Atipamezole,True,Hemorrhage
23,Rhesus,Female,6.0,5.002654864880837,Abdominal,123.09725636255595,5.0,DACLAM,9.0,5.0,Dexmedetomidine_Ketamine_IM,31.275975523534655,Ketamine_IV,14.90601482420448,Sevoflurane,1.3008482890209576,Fentanyl_bolus,0.007597635506592542,Ampicillin,137.38307228435255,3.0,Local_Block,1.3393594852472945,31.390918750426653,Atipamezole,False,
24,Rhesus,Female,18.0,10.152936410558823,Orthopedic,131.66968535285645,5.0,DACLAM,19.0,5.0,Ketamine_IM,65.92535219469487,Etomidate_IV,9.831597417778873,Desflurane,0.9125074705188423,Buprenorphine,0.2027665375910218,Cefotaxime,339.6907371897151,4.0,Carprofen,34.684762774387856,57.49317999890902,Atipamezole,False,
25,Rhesus,Female,13.0,8.973252480621305,Abdominal,149.00043143148432,5.0,DACLAM,16.0,5.0,Ketamine_IM,49.66111913454163,Etomidate_IV,5.437688397448817,TIVA_Propofol,8.975552593326324,Buprenorphine,0.2280068302341845,Ampicillin,442.3633262477011,4.0,Meloxicam,3.8145405965860024,59.99174461723488,Atipamezole,False,
26,Cynomolgus,Female,9.0,6.375843542268228,Orthopedic,164.53043475533147,5.0,DACLAM,15.0,3.4811961716206063,Alfaxalone_IV,7.489623241252648,Alfaxalone_IV,8.520604699562552,Desflurane,1.16337922021471,Fentanyl_bolus,0.043720293150368204,Enrofloxacin,63.382638109996634,4.0,Local_Block,1.817897715896886,17.306199697465892,Atipamezole,False,
27,Rhesus,Male,24.0,10.628680915281612,Orthopedic,80.77152267589099,3.0,DACLAM,10.0,5.0,Alfaxalone_IV,14.542905478151443,Ketamine_IV,36.7649148570387,Desflurane,1.1995953036170037,Fentanyl_bolus,0.09086729002179057,Cefotaxime,524.5690147281692,3.0,Morphine,3.603636814825621,34.92833674004476,Atipamezole,False,
28,Cynomolgus,Male,17.0,6.530727549116134,Abdominal,113.09645840373062,3.0,Resident,4.0,2.9077999733235047,Dexmedetomidine_Ketamine_IM,30.167579632427426,Propofol_IV,37.141884000269734,Sevoflurane,1.219756646531746,Morphine,0.822607295199754,Enrofloxacin,36.624745327854136,4.0,Buprenorphine,0.1762475864863183,30.172791406920012,Atipamezole,True,Cardiac Arrest
29,Cynomolgus,Female,5.0,5.212012839935092,Orthopedic,112.57851149520843,3.0,DACLAM,12.0,4.397549416837069,Alfaxalone_IV,8.71869187206406,Propofol_IV,26.127407932351502,Isoflurane,1.0612337899643003,Buprenorphine,0.11629068267454953,Enrofloxacin,48.33384717028365,4.0,Meloxicam,1.3128213384163183,73.53399150298223,Atipamezole,False,
30,Rhesus,Male,6.0,7.237606225864506,Orthopedic,120.61400760999396,4.0,BoardEligible,4.0,3.2507228970390187,Ketamine_IM,38.950211402533505,Propofol_IV,22.46893847983509,TIVA_Propofol,8.605748305328886,Hydromorphone,0.5090382546152671,Enrofloxacin,62.81315714233356,5.0,Local_Block,3.4978493745304213,33.516636214095556,Atipamezole,False,
31,Cynomolgus,Male,17.0,7.62020025099057,Abdominal,90.18890943640304,5.0,DACLAM,8.0,4.207231338185652,Alfaxalone_IV,9.16745202603567,Alfaxalone_IV,14.003476538599978,TIVA_Propofol,7.197224662394928,Buprenorphine,0.13208047373921236,Cefazolin,216.4336300753006,1.0,Buprenorphine,0.11900249556768501,65.57867051955085,Atipamezole,False,
32,Rhesus,Female,19.0,10.090631136895562,Abdominal,84.18510949273497,5.0,BoardEligible,3.0,3.7264085856579845,Alfaxalone_IV,30.09098526983126,Etomidate_IV,13.160490928163734,Sevoflurane,0.9798688514075524,Morphine,2.454649538455171,Enrofloxacin,81.63612319001531,6.0,Meloxicam,2.470848367243196,66.26346612716549,Atipamezole,False,
33,Rhesus,Female,10.0,9.872797596704906,Orthopedic,211.58657581985938,3.0,DACLAM,14.0,3.9217827484786962,Midazolam_Ketamine_IM,63.5962375235243,Etomidate_IV,9.046658273474309,Isoflurane,1.0395589218324173,Hydromorphone,1.457898891442432,Cefotaxime,260.9593371213038,3.0,Meloxicam,2.819767791764986,59.64577749150248,Atipamezole,False,
34,Marmoset,Female,3.0,0.6459565218561838,Cardiothoracic,119.03369686626681,4.0,DACLAM,17.0,5.0,Dexmedetomidine_Ketamine_IM,2.647005068522889,Etomidate_IV,0.9447899396024246,Sevoflurane,0.8419913636283574,Buprenorphine,0.014323698963344905,Enrofloxacin,6.316895992648658,3.0,Buprenorphine,0.009954377130442381,52.52831352068945,Atipamezole,False,
35,Marmoset,Male,3.0,0.6459565218561838,Orthopedic,181.6130864002219,5.0,DACLAM,9.0,4.725745392783743,Dexmedetomidine_Ketamine_IM,2.9137765090183847,Etomidate_IV,0.5708968642618945,TIVA_Propofol,10.616268377614938,Buprenorphine,0.010952676341201681,Enrofloxacin,3.620081315388092,5.0,Buprenorphine,0.011237678836904998,36.95365589288796,Atipamezole,False,
36,Cynomolgus,Male,7.0,7.231958412871714,Abdominal,126.1982561510603,3.0,BoardEligible,3.0,2.9602086829114453,Medetomidine_Ketamine_IM,56.742193897811106,Etomidate_IV,4.6429727527309685,Desflurane,0.8389215441577886,Morphine,1.0831574039490006,Enrofloxacin,45.3004518105601,5.0,Meloxicam,2.2259648754734345,47.88942773112894,Atipamezole,False,
37,Rhesus,Female,16.0,9.540297738946684,Abdominal,124.92776082030406,3.0,Resident,2.0,2.4977409788389,Ketamine_IM,48.415292587379234,Etomidate_IV,10.81628514024542,Desflurane,1.151922413383489,Morphine,1.4293279830923942,Ampicillin,243.78307822362478,4.0,Morphine,1.9276841265342963,47.953250633125805,Atipamezole,False,
38,Rhesus,Female,4.0,5.791846915800131,Abdominal,125.29574654344682,5.0,DACLAM,17.0,4.512166190068852,Ketamine_IM,31.48124983124433,Propofol_IV,26.3494471868205,Isoflurane,1.0790210246068555,Buprenorphine,0.14288923299205147,Cefazolin,165.42144999784043,1.0,Local_Block,2.2001163336888374,23.000447553945577,Atipamezole,False,
39,Cynomolgus,Female,5.0,4.676059311009242,Abdominal,139.3713155930242,4.0,DACLAM,18.0,4.75907486023346,Medetomidine_Ketamine_IM,28.21296788165024,Etomidate_IV,6.865309413016637,Desflurane,1.164864779279543,Fentanyl_bolus,0.024188752264720875,Cefazolin,109.64897033475602,1.0,Carprofen,17.692386427159164,99.26484241980077,Atipamezole,False,
40,Rhesus,Female,13.0,10.05101731858586,Abdominal,117.1158348991424,3.0,DACLAM,9.0,4.638830136064348,Dexmedetomidine_Ketamine_IM,55.79124064223399,Ketamine_IV,27.164657219833614,Desflurane,1.168052475954686,Hydromorphone,1.085808872519797,Cefazolin,250.6818641236485,2.0,Morphine,4.215695107974052,52.388101164432626,Atipamezole,False,
41,Rhesus,Female,13.0,9.247980515734088,Neurosurgery,159.85008230027782,5.0,DACLAM,11.0,5.0,Midazolam_Ketamine_IM,52.11008058476458,Alfaxalone_IV,4.958593661699953,Isoflurane,1.1363044637357378,Morphine,3.4652230797531134,Cefazolin,192.42440887739963,1.0,Local_Block,6.006596379643575,9.18335674464573,Atipamezole,False,
42,Rhesus,Female,24.0,10.923426197273589,Orthopedic,157.7767970182656,4.0,DACLAM,7.0,3.0440893959535886,Medetomidine_Ketamine_IM,71.97620432525954,Etomidate_IV,15.650640472391434,Sevoflurane,1.3440179369889027,Morphine,4.556167202354876,Enrofloxacin,72.98084964036555,6.0,Morphine,2.0792781811427368,43.12883582781395,Atipamezole,False,
43,Rhesus,Male,8.0,7.247538010500026,Orthopedic,137.52651845863474,5.0,Resident,4.0,1.3607830281698272,Alfaxalone_IV,19.07942813331039,Ketamine_IV,22.70624154894787,Desflurane,0.8746006499880569,Fentanyl_bolus,0.008350914829112996,Ampicillin,264.1521258808117,4.0,Local_Block,5.768604528564114,35.360267603827126,Atipamezole,False,
44,Marmoset,Female,2.0,0.561037960162901,Cardiothoracic,178.42931427152874,5.0,Resident,4.0,1.1371255746030715,Dexmedetomidine_Ketamine_IM,3.8912813745336288,Propofol_IV,1.4683655530107418,Isoflurane,0.8396197884891345,Morphine,0.18475280642363354,Cefazolin,13.49997777036569,2.0,Local_Block,0.5291513769873363,44.32907908212199,Atipamezole,False,
45,Rhesus,Female,23.0,9.461173396077221,Cardiothoracic,80.65124990308831,4.0,DACLAM,10.0,4.217778516117248,Ketamine_IM,55.959252640582335,Alfaxalone_IV,12.425467486907007,TIVA_Propofol,6.231840541604523,Buprenorphine,0.10749930623939048,Cefotaxime,347.5689611408771,3.0,Local_Block,1.2902635099800632,27.269893071108882,Atipamezole,False,
46,Cynomolgus,Female,17.0,8.747759971871439,Neurosurgery,163.0111519633568,5.0,DACLAM,7.0,3.525463226459812,Midazolam_Ketamine_IM,60.96880000851739,Alfaxalone_IV,5.466452587334013,TIVA_Propofol,10.685049765611655,Fentanyl_bolus,0.03944650263380951,Cefotaxime,315.79852238889794,4.0,Meloxicam,2.339219539665303,115.86174950116914,Atipamezole,False,
47,Rhesus,Male,23.0,8.40216827321226,Neurosurgery,182.3394352961176,4.0,BoardEligible,5.0,4.0319760703472785,Ketamine_IM,47.22433570388386,Etomidate_IV,4.3395927411727655,Isoflurane,1.1755246227356324,Fentanyl_bolus,0.03277001685446159,Cefazolin,211.83434493546332,1.0,Buprenorphine,0.19290309711499903,25.553583966902423,Atipamezole,False,
48,Cynomolgus,Female,14.0,7.613113405287,Abdominal,178.24330999031775,3.0,DACLAM,19.0,4.673573170587951,Midazolam_Ketamine_IM,61.643958654322255,Etomidate_IV,5.009764696391626,Isoflurane,0.9332495219542283,Buprenorphine,0.11839639647914456,Cefazolin,184.74545357373157,2.0,Local_Block,6.454951770219753,20.480160692161054,Atipamezole,False,
49,Cynomolgus,Male,6.0,5.125733941714223,Abdominal,136.52996316632473,3.0,Resident,4.0,2.208247610682612,Ketamine_IM,29.783569315796676,Ketamine_IV,18.22691063827097,Sevoflurane,1.1567351017295504,Morphine,0.8430797535541139,Enrofloxacin,37.85762302441171,6.0,Meloxicam,2.459999814843617,60.78781503627006,Atipamezole,False,
50,Rhesus,Female,16.0,9.952011419861556,Neurosurgery,166.8617250254701,5.0,DACLAM,13.0,3.401419513558819,Medetomidine_Ketamine_IM,51.823995947965734,Alfaxalone_IV,5.596717871628624,TIVA_Propofol,11.516104684870886,Fentanyl_bolus,0.08274851206508071,Cefazolin,259.8247743660748,1.0,Morphine,3.9228663962484265,67.05296380069731,Atipamezole,False,
51,Marmoset,Male,5.0,0.7330320421572406,Cardiothoracic,178.05631687654994,5.0,Resident,4.0,1.2762856824310878,Alfaxalone_IV,2.1602991751186673,Ketamine_IV,2.301913468575083,Isoflurane,0.8576403746951686,Buprenorphine,0.01157641958448625,Ampicillin,35.77390784066893,3.0,Buprenorphine,0.01549293087412987,28.843940130741846,Atipamezole,False,
52,Cynomolgus,Female,16.0,8.114692692455538,Abdominal,114.52831651588448,3.0,BoardEligible,3.0,2.7539059074416374,Midazolam_Ketamine_IM,51.393683711038214,Propofol_IV,39.299524656839004,Sevoflurane,1.1605217449903684,Buprenorphine,0.19537205798216525,Cefazolin,224.7325665027197,2.0,Buprenorphine,0.22961884962437668,60.8136485072543,Atipamezole,False,
53,Marmoset,Male,4.0,0.7020926690956161,Orthopedic,132.54796245290507,4.0,BoardEligible,3.0,5.0,Dexmedetomidine_Ketamine_IM,2.884396119919272,Alfaxalone_IV,1.279094089077269,Desflurane,0.8204321938598386,Morphine,0.22436448821684113,Enrofloxacin,6.770444073962893,5.0,Morphine,0.12693345079786197,58.295888417112394,Atipamezole,False,
54,Cynomolgus,Male,9.0,6.990761609794011,Abdominal,81.59098731918974,3.0,BoardEligible,6.0,2.65443223670792,Midazolam_Ketamine_IM,40.1687641114917,Alfaxalone_IV,12.710535776421587,TIVA_Propofol,11.94277421524681,Fentanyl_bolus,0.05009295801652508,Cefotaxime,225.37095820718574,4.0,Meloxicam,3.434533515804588,71.56802094839473,Atipamezole,False,
55,Cynomolgus,Male,8.0,6.336043040060642,Orthopedic,131.81386408267392,5.0,BoardEligible,6.0,4.444200119957539,Medetomidine_Ketamine_IM,33.242635409226594,Alfaxalone_IV,4.489124163265263,Desflurane,0.9371963315005758,Fentanyl_bolus,0.05449072127786048,Ampicillin,179.49642897995705,4.0,Morphine,0.7612424274137862,46.68871735388156,Atipamezole,False,
56,Marmoset,Female,4.0,0.7020926690956161,Neurosurgery,147.2129326688417,5.0,Resident,2.0,1.0,Alfaxalone_IV,1.8385505872672245,Propofol_IV,2.712312941417725,Sevoflurane,1.1973601857085432,Fentanyl_bolus,0.005409951539729267,Cefazolin,16.149591495306765,2.0,Carprofen,2.4706366068312056,114.99217927497965,Atipamezole,False,
57,Rhesus,Male,12.0,9.406941871669833,Cardiothoracic,186.82152072949162,4.0,DACLAM,15.0,3.638232093701185,Alfaxalone_IV,13.9342418836298,Propofol_IV,27.572484105697235,Sevoflurane,0.892289582115707,Buprenorphine,0.10863166130143516,Cefazolin,203.36470995368632,1.0,Meloxicam,2.039890155772897,112.12134519714519,Atipamezole,False,
58,Rhesus,Male,10.0,9.484006336412532,Neurosurgery,158.0201654659089,5.0,DACLAM,10.0,4.722885676848991,Medetomidine_Ketamine_IM,56.23628626994499,Etomidate_IV,12.601214813530554,Isoflurane,1.0714155961987706,Hydromorphone,0.9125248054397275,Enrofloxacin,62.125379052707395,6.0,Buprenorphine,0.19947612868809533,62.71437014636803,Atipamezole,False,
59,Rhesus,Female,9.0,8.75737607134617,Orthopedic,170.25154336666023,4.0,DACLAM,19.0,4.294484183885591,Ketamine_IM,45.775905525274,Ketamine_IV,27.42380915435916,TIVA_Propofol,7.247710026526106,Hydromorphone,1.3597964503883084,Cefazolin,190.4124176838521,2.0,Buprenorphine,0.20633692899370723,68.54009687985786,Atipamezole,False,
60,Rhesus,Male,10.0,8.312759364231203,Cardiothoracic,183.15344733029963,4.0,DACLAM,19.0,4.7492493902147395,Alfaxalone_IV,13.337630532019382,Etomidate_IV,7.960751981180296,TIVA_Propofol,7.785974071357559,Fentanyl_bolus,0.0615747743707149,Enrofloxacin,64.11847737822092,3.0,Meloxicam,2.8430559662213217,29.775186971722757,Atipamezole,False,
61,Rhesus,Female,10.0,7.598052059681727,Abdominal,101.8306498078686,3.0,BoardEligible,4.0,4.249389109267816,Alfaxalone_IV,7.827693724987652,Ketamine_IV,26.603312323313578,Isoflurane,1.3544029307896264,Hydromorphone,0.6634177939977007,Ampicillin,324.25640690655297,3.0,Local_Block,4.414743564572451,24.51991557929266,Atipamezole,False,
62,Rhesus,Female,4.0,5.672827115069112,Orthopedic,152.71319785157496,3.0,DACLAM,12.0,3.6588469948350695,Midazolam_Ketamine_IM,43.83957994596227,Etomidate_IV,4.473796166969439,TIVA_Propofol,10.77643249820892,Hydromorphone,0.6135249433068841,Cefotaxime,236.1188798193732,4.0,Meloxicam,1.735941433356132,44.7072418673096,Atipamezole,False,
63,Cynomolgus,Female,15.0,7.601332985862447,Abdominal,151.26554586850105,3.0,BoardEligible,6.0,4.144090883158801,Dexmedetomidine_Ketamine_IM,52.818746049647594,Propofol_IV,12.425489280274448,TIVA_Propofol,6.702257141249185,Hydromorphone,0.5142289291820712,Cefazolin,192.43624508516285,2.0,Local_Block,5.622897779767357,6.86336393338868,Atipamezole,False,
64,Rhesus,Male,18.0,10.996460853438608,Abdominal,155.41136843750797,5.0,Resident,4.0,2.5168944853821715,Midazolam_Ketamine_IM,59.528049246627674,Etomidate_IV,5.631896927816074,Isoflurane,1.2220652477381022,Hydromorphone,0.7839161387622696,Cefotaxime,520.7603512213409,3.0,Buprenorphine,0.11807881695585014,69.18629416288984,Atipamezole,False,
65,Rhesus,Female,11.0,9.491995009053372,Abdominal,148.81226307935623,4.0,DACLAM,9.0,4.332661221343622,Alfaxalone_IV,17.453695378090543,Propofol_IV,50.10988181900688,Desflurane,0.8753352247806468,Morphine,2.7306635793566665,Ampicillin,255.98344177991106,3.0,Meloxicam,2.6262932258298695,28.51816847344405,Atipamezole,False,
66,Cynomolgus,Male,8.0,5.93103163148235,Orthopedic,176.96846894266469,5.0,DACLAM,19.0,4.464360052757566,Midazolam_Ketamine_IM,37.322031257155956,Alfaxalone_IV,9.962326205677833,TIVA_Propofol,8.583195728484196,Hydromorphone,1.0613105662204803,Enrofloxacin,40.19174519758156,5.0,Local_Block,4.612509193335299,6.089098164075637,Atipamezole,False,
67,Rhesus,Male,15.0,10.650846663193889,Orthopedic,166.82306385139663,5.0,BoardEligible,3.0,2.911728849301078,Medetomidine_Ketamine_IM,76.96280029119137,Ketamine_IV,31.731651548287676,TIVA_Propofol,11.706820211093833,Buprenorphine,0.11859630893911917,Ampicillin,498.828010666918,4.0,Carprofen,41.57810123636461,29.972467184637694,Atipamezole,False,
68,Cynomolgus,Male,8.0,5.784599571188606,Cardiothoracic,127.93895438358246,4.0,DACLAM,17.0,3.5417228021174743,Midazolam_Ketamine_IM,30.700392251036803,Etomidate_IV,4.828410381825792,Isoflurane,1.2878461838794786,Hydromorphone,0.7244541429779363,Ampicillin,145.03798475986017,4.0,Morphine,2.8390486452818138,63.95918477193587,Atipamezole,False,
69,Rhesus,Female,14.0,9.301274782841645,Cardiothoracic,152.12351854822776,5.0,DACLAM,18.0,4.011652967977925,Dexmedetomidine_Ketamine_IM,42.05512174839939,Alfaxalone_IV,16.783510775342624,Sevoflurane,1.2548775721406342,Buprenorphine,0.09387403621535326,Enrofloxacin,80.50951613793514,5.0,Buprenorphine,0.14538532971311247,41.93847612621059,Atipamezole,False,
70,Marmoset,Male,5.0,0.7330320421572406,Cardiothoracic,150.44389713071914,4.0,DACLAM,10.0,4.62331551353533,Ketamine_IM,3.81948510682085,Etomidate_IV,0.7623611173478516,Desflurane,1.0862236168096313,Fentanyl_bolus,0.006098288593446221,Ampicillin,34.11863064150388,3.0,Morphine,0.2316958832806997,31.891005312735487,Atipamezole,False,
71,Cynomolgus,Female,19.0,8.205338154446554,Cardiothoracic,102.88290217293553,4.0,DACLAM,11.0,4.242899858396665,Medetomidine_Ketamine_IM,44.16625633409107,Etomidate_IV,9.812149510618696,Desflurane,0.9178872238776652,Buprenorphine,0.22911720627468599,Cefotaxime,246.96116122248148,4.0,Meloxicam,2.514535467323357,54.895639536989314,Atipamezole,False,
